Time,Concentration
11:43:25,5564
11:43:26,5557
11:43:27,5703
11:43:28,5643
11:43:29,5658
11:43:30,5638
11:43:31,6114
11:43:32,6028
11:43:33,5835
11:43:34,5552
11:43:35,5730
11:43:36,5731
11:43:37,5630
11:43:38,5723
11:43:39,5657
11:43:40,5661
11:43:41,5762
11:43:42,5607
11:43:43,5705
11:43:44,5605
11:43:45,5495
11:43:46,5503
11:43:47,5673
11:43:48,5682
11:43:49,5847
11:43:50,5798
11:43:51,5701
11:43:52,5627
11:43:53,5660
11:43:54,5669
11:43:55,5686
11:43:56,5485
11:43:57,5620
11:43:58,5595
11:43:59,5886
11:44:00,5651
11:44:01,5542
11:44:02,5331
11:44:03,5307
11:44:04,5207
11:44:05,5279
11:44:06,5117
11:44:07,5173
11:44:08,5141
11:44:09,5027
11:44:10,4930
11:44:11,5049
11:44:12,5031
11:44:13,5046
11:44:14,4954
11:44:15,4868
11:44:16,4964
11:44:17,5066
11:44:18,4997
11:44:19,4820
11:44:20,5012
11:44:21,4890
11:44:22,5112
11:44:23,5006
11:44:24,5015
11:44:25,4845
11:44:26,4868
11:44:27,4548
11:44:28,4456
11:44:29,4594
11:44:30,4601
11:44:31,4742
11:44:32,4617
11:44:33,4588
11:44:34,4584
11:44:35,4550
11:44:36,4568
11:44:37,4583
11:44:38,4721
11:44:39,4623
11:44:40,4329
11:44:41,16777200
11:44:42,16777200
11:44:43,16777200
11:44:44,16777200
11:44:45,16777200
11:44:46,16777200
11:44:47,16777200
11:44:48,16777200
11:44:49,16777200
11:44:50,16777200
11:45:35,1820
11:45:36,2058
11:45:37,2278
11:45:38,2555
11:45:39,2729
11:45:40,2996
11:45:41,3246
11:45:42,3518
11:45:43,3926
11:45:44,4095
11:45:45,4124
11:45:46,3993
11:45:47,4159
11:45:48,3903
11:45:49,4116
11:45:50,4045
11:45:51,4293
11:45:52,4157
11:45:53,4491
11:45:54,4436
11:45:55,4867
11:45:56,4810
11:45:57,4930
11:45:58,4850
11:45:59,5001
11:46:00,5069
11:46:01,4991
11:46:02,5053
11:46:03,4874
11:46:04,5040
11:46:05,5136
11:46:06,5175
11:46:07,4997
11:46:08,5422
