distance,Concentrat,strassenkl,dtvw_kfz_m,dtvw_lkw_m,traff_mean
39750.000000000000000,4474.500000,V,,,
39850.000000000000000,4458.000000,V,,,
39950.000000000000000,4469.000000,V,,,
40050.000000000000000,4438.500000,V,,,
40150.000000000000000,4437.500000,V,,,
40250.000000000000000,4514.000000,V,,,
40350.000000000000000,4359.000000,V,,,
40450.000000000000000,4501.000000,V,,,
40550.000000000000000,4454.500000,V,,,
40650.000000000000000,4370.000000,V,,,
40750.000000000000000,4506.000000,V,,,
40850.000000000000000,4586.000000,V,,,
40950.000000000000000,4512.000000,V,,,
41050.000000000000000,4431.000000,V,,,
41150.000000000000000,4056.000000,V,,,
41250.000000000000000,4797.000000,V,33800.000000,1860.000000,48680.000000
41350.000000000000000,8931.000000,II,33800.000000,1860.000000,48680.000000
41450.000000000000000,11087.000000,II,33800.000000,1860.000000,48680.000000
41550.000000000000000,9720.500000,II,32700.000000,1705.000000,46340.000000
41650.000000000000000,10502.500000,V,32700.000000,1705.000000,46340.000000
41750.000000000000000,9475.000000,II,31600.000000,1550.000000,44000.000000
41850.000000000000000,8914.000000,II,31600.000000,1550.000000,44000.000000
41950.000000000000000,9540.500000,II,31600.000000,1550.000000,44000.000000
42050.000000000000000,4984.000000,II,31600.000000,1550.000000,44000.000000
42150.000000000000000,5045.000000,,,,
42250.000000000000000,4917.000000,,,,
42350.000000000000000,4897.000000,,,,
42450.000000000000000,4834.000000,,,,
42550.000000000000000,4846.000000,,,,
42650.000000000000000,5013.000000,,,,
42750.000000000000000,4860.500000,,,,
42850.000000000000000,4990.000000,,,,
42950.000000000000000,4990.000000,,,,
43050.000000000000000,9282.500000,II,31600.000000,1550.000000,44000.000000
43150.000000000000000,9779.000000,II,31600.000000,1550.000000,44000.000000
43250.000000000000000,10813.000000,II,31600.000000,1550.000000,44000.000000
43350.000000000000000,9800.500000,II,32700.000000,1705.000000,46340.000000
43450.000000000000000,10630.000000,II,32700.000000,1705.000000,46340.000000
43550.000000000000000,9714.000000,II,33800.000000,1860.000000,48680.000000
43650.000000000000000,9715.000000,II,33800.000000,1860.000000,48680.000000
43750.000000000000000,15489.000000,II,33800.000000,1860.000000,48680.000000
43850.000000000000000,5907.000000,II,33800.000000,1860.000000,48680.000000
43950.000000000000000,14864.000000,II,33800.000000,1860.000000,48680.000000
44050.000000000000000,9441.000000,II,33800.000000,1860.000000,48680.000000
44150.000000000000000,14285.000000,II,33800.000000,1860.000000,48680.000000
44250.000000000000000,8036.000000,II,33800.000000,1860.000000,48680.000000
44350.000000000000000,7074.500000,II,33800.000000,1860.000000,48680.000000
44450.000000000000000,7241.500000,II,26860.000000,1280.000000,37100.000000
44550.000000000000000,22683.500000,III,25125.000000,1135.000000,34205.000000
44650.000000000000000,5695.500000,III,16700.000000,480.000000,20540.000000
44750.000000000000000,4803.000000,III,15100.000000,455.000000,18740.000000
44850.000000000000000,5500.500000,III,15100.000000,455.000000,18740.000000
44950.000000000000000,6703.000000,III,13500.000000,430.000000,16940.000000
45050.000000000000000,7275.000000,III,13500.000000,510.000000,17580.000000
45150.000000000000000,6101.000000,V,14466.666667,593.333333,19213.333333
45250.000000000000000,17187.000000,III,14950.000000,675.000000,20350.000000
45350.000000000000000,28066.000000,III,14250.000000,662.500000,19550.000000
45450.000000000000000,7064.000000,III,14250.000000,662.500000,19550.000000
